2020-11-27 05:10:27,311 DEBUG (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2020-11-27 12:47:06,434 DEBUG (0.002) SELECT `product_images`.`id`, `product_images`.`product_image_url`, `product_images`.`product_id` FROM `product_images` WHERE `product_images`.`product_id` = 1 ORDER BY `product_images`.`id` ASC LIMIT 1; args=(1,)
2020-11-27 12:47:06,436 DEBUG (0.001) SELECT `carts`.`id`, `carts`.`product_id`, `carts`.`user_id`, `carts`.`order_id`, `carts`.`quantity`, `carts`.`color_id`, `carts`.`shipment`, `carts`.`tracking_number`, `carts`.`size_id` FROM `carts` WHERE (`carts`.`product_id` = 1 AND `carts`.`user_id` = 1); args=(1, 1)
2020-11-27 12:47:06,438 DEBUG (0.001) SELECT `colors`.`id`, `colors`.`name` FROM `colors` WHERE `colors`.`id` = 1 LIMIT 21; args=(1,)
2020-11-27 12:47:06,440 DEBUG (0.001) SELECT `sizes`.`id`, `sizes`.`name` FROM `sizes` WHERE `sizes`.`id` = 1 LIMIT 21; args=(1,)
2020-11-27 12:47:06,442 DEBUG (0.000) SELECT `product_details`.`id`, `product_details`.`product_id`, `product_details`.`size_id`, `product_details`.`price` FROM `product_details` WHERE (`product_details`.`product_id` = 1 AND `product_details`.`size_id` = 1) LIMIT 21; args=(1, 1)
2020-11-27 12:47:06,442 DEBUG (0.000) SELECT `colors`.`id`, `colors`.`name` FROM `colors` WHERE `colors`.`id` = 2 LIMIT 21; args=(2,)
2020-11-27 12:47:06,443 DEBUG (0.000) SELECT `sizes`.`id`, `sizes`.`name` FROM `sizes` WHERE `sizes`.`id` = 2 LIMIT 21; args=(2,)
2020-11-27 12:47:06,445 DEBUG (0.001) SELECT `product_details`.`id`, `product_details`.`product_id`, `product_details`.`size_id`, `product_details`.`price` FROM `product_details` WHERE (`product_details`.`product_id` = 1 AND `product_details`.`size_id` = 2) LIMIT 21; args=(1, 2)
2020-11-27 12:47:06,448 DEBUG (0.001) SELECT `colors`.`id`, `colors`.`name` FROM `colors` WHERE `colors`.`id` = 1 LIMIT 21; args=(1,)
2020-11-27 12:47:06,449 DEBUG (0.001) SELECT `sizes`.`id`, `sizes`.`name` FROM `sizes` WHERE `sizes`.`id` = 1 LIMIT 21; args=(1,)
2020-11-27 12:47:06,451 DEBUG (0.000) SELECT `product_details`.`id`, `product_details`.`product_id`, `product_details`.`size_id`, `product_details`.`price` FROM `product_details` WHERE (`product_details`.`product_id` = 1 AND `product_details`.`size_id` = 1) LIMIT 21; args=(1, 1)
2020-11-27 12:47:06,452 DEBUG (0.000) SELECT `colors`.`id`, `colors`.`name` FROM `colors` WHERE `colors`.`id` = 2 LIMIT 21; args=(2,)
2020-11-27 12:47:06,452 DEBUG (0.000) SELECT `sizes`.`id`, `sizes`.`name` FROM `sizes` WHERE `sizes`.`id` = 2 LIMIT 21; args=(2,)
2020-11-27 12:47:06,454 DEBUG (0.000) SELECT `product_details`.`id`, `product_details`.`product_id`, `product_details`.`size_id`, `product_details`.`price` FROM `product_details` WHERE (`product_details`.`product_id` = 1 AND `product_details`.`size_id` = 2) LIMIT 21; args=(1, 2)
2020-11-27 12:47:06,454 DEBUG (0.000) SELECT `colors`.`id`, `colors`.`name` FROM `colors` WHERE `colors`.`id` = 1 LIMIT 21; args=(1,)
2020-11-27 12:47:06,455 DEBUG (0.000) SELECT `sizes`.`id`, `sizes`.`name` FROM `sizes` WHERE `sizes`.`id` = 1 LIMIT 21; args=(1,)
2020-11-27 12:47:06,457 DEBUG (0.000) SELECT `product_details`.`id`, `product_details`.`product_id`, `product_details`.`size_id`, `product_details`.`price` FROM `product_details` WHERE (`product_details`.`product_id` = 1 AND `product_details`.`size_id` = 1) LIMIT 21; args=(1, 1)
2020-11-27 12:47:06,457 DEBUG (0.000) SELECT `colors`.`id`, `colors`.`name` FROM `colors` WHERE `colors`.`id` = 2 LIMIT 21; args=(2,)
2020-11-27 12:47:06,458 DEBUG (0.000) SELECT `sizes`.`id`, `sizes`.`name` FROM `sizes` WHERE `sizes`.`id` = 2 LIMIT 21; args=(2,)
2020-11-27 12:47:06,460 DEBUG (0.000) SELECT `product_details`.`id`, `product_details`.`product_id`, `product_details`.`size_id`, `product_details`.`price` FROM `product_details` WHERE (`product_details`.`product_id` = 1 AND `product_details`.`size_id` = 2) LIMIT 21; args=(1, 2)
2020-11-27 12:47:18,678 DEBUG (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2020-11-27 12:47:18,679 DEBUG (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
2020-11-27 12:47:18,681 DEBUG (0.002) SHOW FULL TABLES; args=None
2020-11-27 12:47:18,686 DEBUG (0.000) SELECT `django_migrations`.`id`, `django_migrations`.`app`, `django_migrations`.`name`, `django_migrations`.`applied` FROM `django_migrations`; args=()
2020-11-27 12:47:20,604 DEBUG (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2020-11-27 12:47:20,606 DEBUG (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
2020-11-27 12:47:20,606 DEBUG (0.000) SELECT `users`.`id`, `users`.`created_at`, `users`.`updated_at`, `users`.`username`, `users`.`password`, `users`.`email`, `users`.`profile_image_url` FROM `users` WHERE `users`.`id` = 1 LIMIT 21; args=(1,)
2020-11-27 12:47:20,608 DEBUG (0.001) SELECT `carts`.`id`, `carts`.`product_id`, `carts`.`user_id`, `carts`.`order_id`, `carts`.`quantity`, `carts`.`color_id`, `carts`.`shipment`, `carts`.`tracking_number`, `carts`.`size_id` FROM `carts` WHERE `carts`.`user_id` = 1; args=(1,)
2020-11-27 12:47:20,610 DEBUG (0.000) SELECT `products`.`id`, `products`.`name`, `products`.`menu_id`, `products`.`category_id`, `products`.`sub_category_id`, `products`.`collection_id`, `products`.`seller_id` FROM `products` WHERE `products`.`id` = 1 LIMIT 21; args=(1,)
2020-11-27 12:47:20,614 DEBUG (0.001) SELECT `products`.`id`, `products`.`name`, `products`.`menu_id`, `products`.`category_id`, `products`.`sub_category_id`, `products`.`collection_id`, `products`.`seller_id` FROM `products` WHERE `products`.`id` = 1 LIMIT 21; args=(1,)
2020-11-27 12:47:20,615 DEBUG (0.000) SELECT `product_images`.`id`, `product_images`.`product_image_url`, `product_images`.`product_id` FROM `product_images` WHERE `product_images`.`product_id` IN (1); args=(1,)
2020-11-27 12:47:20,617 DEBUG (0.000) SELECT `product_images`.`id`, `product_images`.`product_image_url`, `product_images`.`product_id` FROM `product_images` WHERE `product_images`.`product_id` = 1 ORDER BY `product_images`.`id` ASC LIMIT 1; args=(1,)
2020-11-27 12:47:20,619 DEBUG (0.001) SELECT `carts`.`id`, `carts`.`product_id`, `carts`.`user_id`, `carts`.`order_id`, `carts`.`quantity`, `carts`.`color_id`, `carts`.`shipment`, `carts`.`tracking_number`, `carts`.`size_id` FROM `carts` WHERE (`carts`.`product_id` = 1 AND `carts`.`user_id` = 1); args=(1, 1)
2020-11-27 12:47:20,620 DEBUG (0.000) SELECT `colors`.`id`, `colors`.`name` FROM `colors` WHERE `colors`.`id` = 1 LIMIT 21; args=(1,)
2020-11-27 12:47:20,622 DEBUG (0.000) SELECT `sizes`.`id`, `sizes`.`name` FROM `sizes` WHERE `sizes`.`id` = 1 LIMIT 21; args=(1,)
2020-11-27 12:47:20,623 DEBUG (0.000) SELECT `product_details`.`id`, `product_details`.`product_id`, `product_details`.`size_id`, `product_details`.`price` FROM `product_details` WHERE (`product_details`.`product_id` = 1 AND `product_details`.`size_id` = 1) LIMIT 21; args=(1, 1)
2020-11-27 12:47:20,624 DEBUG (0.000) SELECT `colors`.`id`, `colors`.`name` FROM `colors` WHERE `colors`.`id` = 2 LIMIT 21; args=(2,)
2020-11-27 12:47:20,625 DEBUG (0.000) SELECT `sizes`.`id`, `sizes`.`name` FROM `sizes` WHERE `sizes`.`id` = 2 LIMIT 21; args=(2,)
2020-11-27 12:47:20,626 DEBUG (0.000) SELECT `product_details`.`id`, `product_details`.`product_id`, `product_details`.`size_id`, `product_details`.`price` FROM `product_details` WHERE (`product_details`.`product_id` = 1 AND `product_details`.`size_id` = 2) LIMIT 21; args=(1, 2)
2020-11-27 12:47:20,627 DEBUG (0.000) SELECT `colors`.`id`, `colors`.`name` FROM `colors` WHERE `colors`.`id` = 1 LIMIT 21; args=(1,)
2020-11-27 12:47:20,628 DEBUG (0.000) SELECT `sizes`.`id`, `sizes`.`name` FROM `sizes` WHERE `sizes`.`id` = 1 LIMIT 21; args=(1,)
2020-11-27 12:47:20,629 DEBUG (0.000) SELECT `product_details`.`id`, `product_details`.`product_id`, `product_details`.`size_id`, `product_details`.`price` FROM `product_details` WHERE (`product_details`.`product_id` = 1 AND `product_details`.`size_id` = 1) LIMIT 21; args=(1, 1)
2020-11-27 12:47:20,629 DEBUG (0.000) SELECT `colors`.`id`, `colors`.`name` FROM `colors` WHERE `colors`.`id` = 2 LIMIT 21; args=(2,)
2020-11-27 12:47:20,631 DEBUG (0.000) SELECT `sizes`.`id`, `sizes`.`name` FROM `sizes` WHERE `sizes`.`id` = 2 LIMIT 21; args=(2,)
2020-11-27 12:47:20,633 DEBUG (0.000) SELECT `product_details`.`id`, `product_details`.`product_id`, `product_details`.`size_id`, `product_details`.`price` FROM `product_details` WHERE (`product_details`.`product_id` = 1 AND `product_details`.`size_id` = 2) LIMIT 21; args=(1, 2)
2020-11-27 12:47:20,633 DEBUG (0.000) SELECT `colors`.`id`, `colors`.`name` FROM `colors` WHERE `colors`.`id` = 1 LIMIT 21; args=(1,)
2020-11-27 12:47:20,634 DEBUG (0.000) SELECT `sizes`.`id`, `sizes`.`name` FROM `sizes` WHERE `sizes`.`id` = 1 LIMIT 21; args=(1,)
2020-11-27 12:47:20,635 DEBUG (0.000) SELECT `product_details`.`id`, `product_details`.`product_id`, `product_details`.`size_id`, `product_details`.`price` FROM `product_details` WHERE (`product_details`.`product_id` = 1 AND `product_details`.`size_id` = 1) LIMIT 21; args=(1, 1)
2020-11-27 12:47:20,636 DEBUG (0.000) SELECT `colors`.`id`, `colors`.`name` FROM `colors` WHERE `colors`.`id` = 2 LIMIT 21; args=(2,)
2020-11-27 12:47:20,637 DEBUG (0.000) SELECT `sizes`.`id`, `sizes`.`name` FROM `sizes` WHERE `sizes`.`id` = 2 LIMIT 21; args=(2,)
2020-11-27 12:47:20,638 DEBUG (0.000) SELECT `product_details`.`id`, `product_details`.`product_id`, `product_details`.`size_id`, `product_details`.`price` FROM `product_details` WHERE (`product_details`.`product_id` = 1 AND `product_details`.`size_id` = 2) LIMIT 21; args=(1, 2)
2020-11-27 12:48:21,933 DEBUG (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2020-11-27 12:48:21,933 DEBUG (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
2020-11-27 12:48:21,935 DEBUG (0.001) SHOW FULL TABLES; args=None
2020-11-27 12:48:21,939 DEBUG (0.001) SELECT `django_migrations`.`id`, `django_migrations`.`app`, `django_migrations`.`name`, `django_migrations`.`applied` FROM `django_migrations`; args=()
2020-11-27 12:48:26,196 DEBUG (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2020-11-27 12:48:26,197 DEBUG (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
2020-11-27 12:48:26,198 DEBUG (0.000) SELECT `users`.`id`, `users`.`created_at`, `users`.`updated_at`, `users`.`username`, `users`.`password`, `users`.`email`, `users`.`profile_image_url` FROM `users` WHERE `users`.`id` = 1 LIMIT 21; args=(1,)
2020-11-27 12:48:26,200 DEBUG (0.000) SELECT `carts`.`id`, `carts`.`product_id`, `carts`.`user_id`, `carts`.`order_id`, `carts`.`quantity`, `carts`.`color_id`, `carts`.`shipment`, `carts`.`tracking_number`, `carts`.`size_id` FROM `carts` WHERE `carts`.`user_id` = 1; args=(1,)
2020-11-27 12:48:26,202 DEBUG (0.000) SELECT `products`.`id`, `products`.`name`, `products`.`menu_id`, `products`.`category_id`, `products`.`sub_category_id`, `products`.`collection_id`, `products`.`seller_id` FROM `products` WHERE `products`.`id` = 1 LIMIT 21; args=(1,)
2020-11-27 12:48:26,206 DEBUG (0.000) SELECT `products`.`id`, `products`.`name`, `products`.`menu_id`, `products`.`category_id`, `products`.`sub_category_id`, `products`.`collection_id`, `products`.`seller_id` FROM `products` WHERE `products`.`id` = 1 LIMIT 21; args=(1,)
2020-11-27 12:48:26,208 DEBUG (0.000) SELECT `product_images`.`id`, `product_images`.`product_image_url`, `product_images`.`product_id` FROM `product_images` WHERE `product_images`.`product_id` IN (1); args=(1,)
2020-11-27 12:48:26,214 DEBUG (0.000) SELECT `product_images`.`id`, `product_images`.`product_image_url`, `product_images`.`product_id` FROM `product_images` WHERE `product_images`.`product_id` = 1 ORDER BY `product_images`.`id` ASC LIMIT 1; args=(1,)
2020-11-27 12:48:26,215 DEBUG (0.000) SELECT `carts`.`id`, `carts`.`product_id`, `carts`.`user_id`, `carts`.`order_id`, `carts`.`quantity`, `carts`.`color_id`, `carts`.`shipment`, `carts`.`tracking_number`, `carts`.`size_id` FROM `carts` WHERE (`carts`.`product_id` = 1 AND `carts`.`user_id` = 1); args=(1, 1)
2020-11-27 12:48:26,218 DEBUG (0.001) SELECT `colors`.`id`, `colors`.`name` FROM `colors` WHERE `colors`.`id` = 1 LIMIT 21; args=(1,)
2020-11-27 12:48:26,220 DEBUG (0.001) SELECT `sizes`.`id`, `sizes`.`name` FROM `sizes` WHERE `sizes`.`id` = 1 LIMIT 21; args=(1,)
2020-11-27 12:48:26,222 DEBUG (0.000) SELECT `product_details`.`id`, `product_details`.`product_id`, `product_details`.`size_id`, `product_details`.`price` FROM `product_details` WHERE (`product_details`.`product_id` = 1 AND `product_details`.`size_id` = 1) LIMIT 21; args=(1, 1)
2020-11-27 12:48:26,224 DEBUG (0.000) SELECT `colors`.`id`, `colors`.`name` FROM `colors` WHERE `colors`.`id` = 2 LIMIT 21; args=(2,)
2020-11-27 12:48:26,225 DEBUG (0.000) SELECT `sizes`.`id`, `sizes`.`name` FROM `sizes` WHERE `sizes`.`id` = 2 LIMIT 21; args=(2,)
2020-11-27 12:48:26,226 DEBUG (0.000) SELECT `product_details`.`id`, `product_details`.`product_id`, `product_details`.`size_id`, `product_details`.`price` FROM `product_details` WHERE (`product_details`.`product_id` = 1 AND `product_details`.`size_id` = 2) LIMIT 21; args=(1, 2)
2020-11-27 12:48:26,227 DEBUG (0.000) SELECT `colors`.`id`, `colors`.`name` FROM `colors` WHERE `colors`.`id` = 1 LIMIT 21; args=(1,)
2020-11-27 12:48:26,228 DEBUG (0.000) SELECT `sizes`.`id`, `sizes`.`name` FROM `sizes` WHERE `sizes`.`id` = 1 LIMIT 21; args=(1,)
2020-11-27 12:48:26,230 DEBUG (0.000) SELECT `product_details`.`id`, `product_details`.`product_id`, `product_details`.`size_id`, `product_details`.`price` FROM `product_details` WHERE (`product_details`.`product_id` = 1 AND `product_details`.`size_id` = 1) LIMIT 21; args=(1, 1)
2020-11-27 12:48:26,231 DEBUG (0.000) SELECT `colors`.`id`, `colors`.`name` FROM `colors` WHERE `colors`.`id` = 2 LIMIT 21; args=(2,)
2020-11-27 12:48:26,232 DEBUG (0.000) SELECT `sizes`.`id`, `sizes`.`name` FROM `sizes` WHERE `sizes`.`id` = 2 LIMIT 21; args=(2,)
2020-11-27 12:48:26,233 DEBUG (0.000) SELECT `product_details`.`id`, `product_details`.`product_id`, `product_details`.`size_id`, `product_details`.`price` FROM `product_details` WHERE (`product_details`.`product_id` = 1 AND `product_details`.`size_id` = 2) LIMIT 21; args=(1, 2)
2020-11-27 12:48:26,233 DEBUG (0.000) SELECT `colors`.`id`, `colors`.`name` FROM `colors` WHERE `colors`.`id` = 1 LIMIT 21; args=(1,)
2020-11-27 12:48:26,234 DEBUG (0.000) SELECT `sizes`.`id`, `sizes`.`name` FROM `sizes` WHERE `sizes`.`id` = 1 LIMIT 21; args=(1,)
2020-11-27 12:48:26,235 DEBUG (0.000) SELECT `product_details`.`id`, `product_details`.`product_id`, `product_details`.`size_id`, `product_details`.`price` FROM `product_details` WHERE (`product_details`.`product_id` = 1 AND `product_details`.`size_id` = 1) LIMIT 21; args=(1, 1)
2020-11-27 12:48:26,236 DEBUG (0.000) SELECT `colors`.`id`, `colors`.`name` FROM `colors` WHERE `colors`.`id` = 2 LIMIT 21; args=(2,)
2020-11-27 12:48:26,237 DEBUG (0.000) SELECT `sizes`.`id`, `sizes`.`name` FROM `sizes` WHERE `sizes`.`id` = 2 LIMIT 21; args=(2,)
2020-11-27 12:48:26,239 DEBUG (0.000) SELECT `product_details`.`id`, `product_details`.`product_id`, `product_details`.`size_id`, `product_details`.`price` FROM `product_details` WHERE (`product_details`.`product_id` = 1 AND `product_details`.`size_id` = 2) LIMIT 21; args=(1, 2)
2020-11-27 12:48:47,774 DEBUG (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2020-11-27 12:48:47,775 DEBUG (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
2020-11-27 12:48:47,776 DEBUG (0.001) SHOW FULL TABLES; args=None
2020-11-27 12:48:47,780 DEBUG (0.001) SELECT `django_migrations`.`id`, `django_migrations`.`app`, `django_migrations`.`name`, `django_migrations`.`applied` FROM `django_migrations`; args=()
2020-11-27 12:48:53,429 DEBUG (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2020-11-27 12:48:53,433 DEBUG (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
2020-11-27 12:48:53,433 DEBUG (0.000) SELECT `users`.`id`, `users`.`created_at`, `users`.`updated_at`, `users`.`username`, `users`.`password`, `users`.`email`, `users`.`profile_image_url` FROM `users` WHERE `users`.`id` = 1 LIMIT 21; args=(1,)
2020-11-27 12:48:53,435 DEBUG (0.000) SELECT `carts`.`id`, `carts`.`product_id`, `carts`.`user_id`, `carts`.`order_id`, `carts`.`quantity`, `carts`.`color_id`, `carts`.`shipment`, `carts`.`tracking_number`, `carts`.`size_id` FROM `carts` WHERE `carts`.`user_id` = 1; args=(1,)
2020-11-27 12:48:53,436 DEBUG (0.000) SELECT `products`.`id`, `products`.`name`, `products`.`menu_id`, `products`.`category_id`, `products`.`sub_category_id`, `products`.`collection_id`, `products`.`seller_id` FROM `products` WHERE `products`.`id` = 1 LIMIT 21; args=(1,)
2020-11-27 12:48:53,439 DEBUG (0.000) SELECT `products`.`id`, `products`.`name`, `products`.`menu_id`, `products`.`category_id`, `products`.`sub_category_id`, `products`.`collection_id`, `products`.`seller_id` FROM `products` WHERE `products`.`id` = 1 LIMIT 21; args=(1,)
2020-11-27 12:48:53,441 DEBUG (0.001) SELECT `product_images`.`id`, `product_images`.`product_image_url`, `product_images`.`product_id` FROM `product_images` WHERE `product_images`.`product_id` IN (1); args=(1,)
2020-11-27 12:48:53,444 DEBUG (0.000) SELECT `product_images`.`id`, `product_images`.`product_image_url`, `product_images`.`product_id` FROM `product_images` WHERE `product_images`.`product_id` = 1 ORDER BY `product_images`.`id` ASC LIMIT 1; args=(1,)
2020-11-27 12:48:53,444 DEBUG (0.000) SELECT `carts`.`id`, `carts`.`product_id`, `carts`.`user_id`, `carts`.`order_id`, `carts`.`quantity`, `carts`.`color_id`, `carts`.`shipment`, `carts`.`tracking_number`, `carts`.`size_id` FROM `carts` WHERE (`carts`.`product_id` = 1 AND `carts`.`user_id` = 1); args=(1, 1)
2020-11-27 12:48:53,445 DEBUG (0.000) SELECT `colors`.`id`, `colors`.`name` FROM `colors` WHERE `colors`.`id` = 1 LIMIT 21; args=(1,)
2020-11-27 12:48:53,446 DEBUG (0.000) SELECT `sizes`.`id`, `sizes`.`name` FROM `sizes` WHERE `sizes`.`id` = 1 LIMIT 21; args=(1,)
2020-11-27 12:48:53,447 DEBUG (0.000) SELECT `product_details`.`id`, `product_details`.`product_id`, `product_details`.`size_id`, `product_details`.`price` FROM `product_details` WHERE (`product_details`.`product_id` = 1 AND `product_details`.`size_id` = 1) LIMIT 21; args=(1, 1)
2020-11-27 12:48:53,448 DEBUG (0.000) SELECT `colors`.`id`, `colors`.`name` FROM `colors` WHERE `colors`.`id` = 2 LIMIT 21; args=(2,)
2020-11-27 12:48:53,449 DEBUG (0.000) SELECT `sizes`.`id`, `sizes`.`name` FROM `sizes` WHERE `sizes`.`id` = 2 LIMIT 21; args=(2,)
2020-11-27 12:48:53,451 DEBUG (0.000) SELECT `product_details`.`id`, `product_details`.`product_id`, `product_details`.`size_id`, `product_details`.`price` FROM `product_details` WHERE (`product_details`.`product_id` = 1 AND `product_details`.`size_id` = 2) LIMIT 21; args=(1, 2)
2020-11-27 12:48:53,452 DEBUG (0.000) SELECT `colors`.`id`, `colors`.`name` FROM `colors` WHERE `colors`.`id` = 1 LIMIT 21; args=(1,)
2020-11-27 12:48:53,453 DEBUG (0.000) SELECT `sizes`.`id`, `sizes`.`name` FROM `sizes` WHERE `sizes`.`id` = 1 LIMIT 21; args=(1,)
2020-11-27 12:48:53,454 DEBUG (0.000) SELECT `product_details`.`id`, `product_details`.`product_id`, `product_details`.`size_id`, `product_details`.`price` FROM `product_details` WHERE (`product_details`.`product_id` = 1 AND `product_details`.`size_id` = 1) LIMIT 21; args=(1, 1)
2020-11-27 12:48:53,454 DEBUG (0.000) SELECT `colors`.`id`, `colors`.`name` FROM `colors` WHERE `colors`.`id` = 2 LIMIT 21; args=(2,)
2020-11-27 12:48:53,455 DEBUG (0.000) SELECT `sizes`.`id`, `sizes`.`name` FROM `sizes` WHERE `sizes`.`id` = 2 LIMIT 21; args=(2,)
2020-11-27 12:48:53,456 DEBUG (0.000) SELECT `product_details`.`id`, `product_details`.`product_id`, `product_details`.`size_id`, `product_details`.`price` FROM `product_details` WHERE (`product_details`.`product_id` = 1 AND `product_details`.`size_id` = 2) LIMIT 21; args=(1, 2)
2020-11-27 12:48:53,457 DEBUG (0.000) SELECT `colors`.`id`, `colors`.`name` FROM `colors` WHERE `colors`.`id` = 1 LIMIT 21; args=(1,)
2020-11-27 12:48:53,457 DEBUG (0.000) SELECT `sizes`.`id`, `sizes`.`name` FROM `sizes` WHERE `sizes`.`id` = 1 LIMIT 21; args=(1,)
2020-11-27 12:48:53,458 DEBUG (0.000) SELECT `product_details`.`id`, `product_details`.`product_id`, `product_details`.`size_id`, `product_details`.`price` FROM `product_details` WHERE (`product_details`.`product_id` = 1 AND `product_details`.`size_id` = 1) LIMIT 21; args=(1, 1)
2020-11-27 12:48:53,460 DEBUG (0.001) SELECT `colors`.`id`, `colors`.`name` FROM `colors` WHERE `colors`.`id` = 2 LIMIT 21; args=(2,)
2020-11-27 12:48:53,462 DEBUG (0.000) SELECT `sizes`.`id`, `sizes`.`name` FROM `sizes` WHERE `sizes`.`id` = 2 LIMIT 21; args=(2,)
2020-11-27 12:48:53,463 DEBUG (0.000) SELECT `product_details`.`id`, `product_details`.`product_id`, `product_details`.`size_id`, `product_details`.`price` FROM `product_details` WHERE (`product_details`.`product_id` = 1 AND `product_details`.`size_id` = 2) LIMIT 21; args=(1, 2)
2020-11-27 12:49:15,703 DEBUG (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2020-11-27 12:49:15,703 DEBUG (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
2020-11-27 12:49:15,705 DEBUG (0.001) SHOW FULL TABLES; args=None
2020-11-27 12:49:15,708 DEBUG (0.000) SELECT `django_migrations`.`id`, `django_migrations`.`app`, `django_migrations`.`name`, `django_migrations`.`applied` FROM `django_migrations`; args=()
2020-11-27 12:49:33,375 DEBUG (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
